['Test Case ID', 'Input length type', 'Input', 'Expected output', 'Actual output', 'Status', 'Singlish input types covered', 'Evidence or rationale for the input type covered']
['Neg_0001', 'S', 'mata oyage number eka denna', 'මට ඔයාගේ නම්බර් එක දෙන්න', None, 'FAIL', 'Online Identifiers in Singlish', 'Evidence: “number eka” refers to a phone/contact identifier']
[None, None, None, None, None, None, None, 'Rationale: The sentence is about requesting a personal identifier']
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
['Neg_0002', 'S', 'oya kawaddha bn enna hithan inne 😅', 'ඔයා කවද්ද බන් එන්න හිතන් ඉන්නේ 😅', None, 'FAIL', '\nQuestion forms', 'Evidence: “kawaddha… hithan inne?”']
[None, None, None, None, None, None, 'Inputs Containing Emojis', 'Rationale: The structure clearly forms a question']
[None, None, None, None, None, None, 'Inputs with Slang and Casual Phrasing', 'Evidence: “😅”']
[None, None, None, None, None, None, None, 'Rationale: Emoji is included within the sentence']
['Neg_0003', 'M', 'oyata meeting eke exact time eka kohomadha bn? pls confirm', 'ඔයාට meeting එකේ exact time එක කොහොමද බන්? pls confirm', None, 'FAIL', 'Question forms', 'Evidence: “kohomadha…?”']
[None, None, None, None, None, None, 'Multi-Word English Phrases in Singlish', 'Rationale: Sentence is a direct question']
[None, None, None, None, None, None, 'Inputs with Slang and Casual Phrasing', 'Evidence: “pls confirm”']
[None, None, None, None, None, None, None, 'Rationale: Multiple English words used together']
['Neg_0004', 'M', 'March 20 wena dawase examination hall ekata enna', 'March 20 වෙන දවසේ examination hall එකට එන්න', None, 'FAIL', 'Inputs with Dates', 'Evidence: “March 20”']
[None, None, None, None, None, None, 'Requests', 'Rationale: Contains a calendar date']
